 Vrc,Vce,vcc
2.3,0.678,3
2.27,0.607,2.9
2.25,0.511,2.8
2.23,0.437,2.7
2.21,0.351,2.6
2.19,0.287,2.5
2.11,0.25,2.4
2.03,0.234,2.3
1.95,0.22,2.2
1.86,0.206,2.1
1.78,0.199,2
1.68,0.191,1.9
1.59,0.186,1.8
1.5,0.177,1.7
1.41,0.173,1.6
1.31,0.166,1.5
1.22,0.161,1.4
1.13,0.154,1.3
1.04,0.148,1.2
0.94,0.143,1.1
0.854,0.137,1
0.759,0.131,0.9
0.666,0.126,0.8
0.573,0.118,0.7
0.481,0.11,0.6
0.388,0.102,0.5
0.298,0.092,0.4
0.205,0.081,0.3
0.123,0.066,0.2
0.043,0.045,0.1
